[NO1-A-1045HR-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
404,-2.992000,-128.993966,-1.100847
405,-2.990000,-131.892706,-1.125585
406,-2.988000,-123.196484,-1.051371
407,-2.986000,-137.690188,-1.175062
408,-2.984000,-126.095225,-1.076109
409,-2.982000,-111.601521,-0.952418
410,-2.980000,-94.209076,-0.803989
411,-2.978000,-91.310335,-0.779251
412,-2.976000,-108.702780,-0.927680
413,-2.974000,-143.487670,-1.224538
414,-2.972000,-155.082633,-1.323490
415,-2.970000,-137.690188,-1.175062
416,-2.968000,-120.297743,-1.026633
417,-2.966000,-102.905298,-0.878204
418,-2.964000,-108.702780,-0.927680
419,-2.962000,-120.297743,-1.026633
420,-2.960000,-140.588929,-1.199800
421,-2.958000,-146.386410,-1.249276
422,-2.956000,-131.892706,-1.125585
423,-2.954000,-126.095225,-1.076109
424,-2.952000,-97.107817,-0.828728
425,-2.950000,-105.804039,-0.902942
426,-2.948000,-117.399002,-1.001895
427,-2.946000,-140.588929,-1.199800
428,-2.944000,-149.285151,-1.274014
429,-2.942000,-143.487670,-1.224538
430,-2.940000,-131.892706,-1.125585
431,-2.938000,-131.892706,-1.125585
432,-2.936000,-126.095225,-1.076109
433,-2.934000,-126.095225,-1.076109
434,-2.932000,-114.500262,-0.977156
435,-2.930000,-123.196484,-1.051371
436,-2.928000,-137.690188,-1.175062
437,-2.926000,-137.690188,-1.175062
438,-2.924000,-134.791447,-1.150323
439,-2.922000,-137.690188,-1.175062
440,-2.920000,-128.993966,-1.100847
441,-2.918000,-128.993966,-1.100847
442,-2.916000,-128.993966,-1.100847
443,-2.914000,-117.399002,-1.001895
444,-2.912000,-126.095225,-1.076109
445,-2.910000,-117.399002,-1.001895
446,-2.908000,-123.196484,-1.051371
447,-2.906000,-126.095225,-1.076109
448,-2.904000,-128.993966,-1.100847
449,-2.902000,-131.892706,-1.125585
450,-2.900000,-131.892706,-1.125585
451,-2.898000,-117.399002,-1.001895
452,-2.896000,-120.297743,-1.026633
453,-2.894000,-117.399002,-1.001895
454,-2.892000,-123.196484,-1.051371
455,-2.890000,-117.399002,-1.001895
456,-2.888000,-126.095225,-1.076109
457,-2.886000,-137.690188,-1.175062
458,-2.884000,-134.791447,-1.150323
459,-2.882000,-149.285151,-1.274014
460,-2.880000,-140.588929,-1.199800
461,-2.878000,-128.993966,-1.100847
462,-2.876000,-102.905298,-0.878204
463,-2.874000,-97.107817,-0.828728
464,-2.872000,-111.601521,-0.952418
465,-2.870000,-137.690188,-1.175062
466,-2.868000,-149.285151,-1.274014
467,-2.866000,-143.487670,-1.224538
468,-2.864000,-123.196484,-1.051371
469,-2.862000,-111.601521,-0.952418
470,-2.860000,-111.601521,-0.952418
471,-2.858000,-117.399002,-1.001895
472,-2.856000,-134.791447,-1.150323
473,-2.854000,-137.690188,-1.175062
474,-2.852000,-134.791447,-1.150323
475,-2.850000,-120.297743,-1.026633
476,-2.848000,-120.297743,-1.026633
477,-2.846000,-134.791447,-1.150323
478,-2.844000,-134.791447,-1.150323
479,-2.842000,-128.993966,-1.100847
480,-2.840000,-128.993966,-1.100847
481,-2.838000,-114.500262,-0.977156
482,-2.836000,-128.993966,-1.100847
483,-2.834000,-137.690188,-1.175062
484,-2.832000,-137.690188,-1.175062
485,-2.830000,-140.588929,-1.199800
486,-2.828000,-134.791447,-1.150323
487,-2.826000,-120.297743,-1.026633
488,-2.824000,-126.095225,-1.076109
489,-2.822000,-128.993966,-1.100847
490,-2.820000,-137.690188,-1.175062
491,-2.818000,-117.399002,-1.001895
492,-2.816000,-108.702780,-0.927680
493,-2.814000,-111.601521,-0.952418
494,-2.812000,-123.196484,-1.051371
495,-2.810000,-128.993966,-1.100847
496,-2.808000,-134.791447,-1.150323
497,-2.806000,-143.487670,-1.224538
498,-2.804000,-128.993966,-1.100847
499,-2.802000,-120.297743,-1.026633
500,-2.800000,-91.310335,-0.779251
501,-2.798000,-108.702780,-0.927680
502,-2.796000,-134.791447,-1.150323
503,-2.794000,-160.880114,-1.372967
504,-2.792000,-160.880114,-1.372967
505,-2.790000,-146.386410,-1.249276
506,-2.788000,-117.399002,-1.001895
507,-2.786000,-100.006558,-0.853466
508,-2.784000,-105.804039,-0.902942
509,-2.782000,-111.601521,-0.952418
510,-2.780000,-134.791447,-1.150323
511,-2.778000,-149.285151,-1.274014
512,-2.776000,-160.880114,-1.372967
513,-2.774000,-143.487670,-1.224538
514,-2.772000,-123.196484,-1.051371
515,-2.770000,-102.905298,-0.878204
516,-2.768000,-94.209076,-0.803989
517,-2.766000,-102.905298,-0.878204
518,-2.764000,-117.399002,-1.001895
519,-2.762000,-137.690188,-1.175062
520,-2.760000,-137.690188,-1.175062
521,-2.758000,-137.690188,-1.175062
522,-2.756000,-134.791447,-1.150323
523,-2.754000,-120.297743,-1.026633
524,-2.752000,-117.399002,-1.001895
525,-2.750000,-131.892706,-1.125585
526,-2.748000,-140.588929,-1.199800
527,-2.746000,-146.386410,-1.249276
528,-2.744000,-146.386410,-1.249276
529,-2.742000,-111.601521,-0.952418
530,-2.740000,-100.006558,-0.853466
531,-2.738000,-79.715372,-0.680299
532,-2.736000,-105.804039,-0.902942
533,-2.734000,-140.588929,-1.199800
534,-2.732000,-155.082633,-1.323490
535,-2.730000,-163.778855,-1.397705
536,-2.728000,-143.487670,-1.224538
537,-2.726000,-117.399002,-1.001895
538,-2.724000,-85.512854,-0.729775
539,-2.722000,-97.107817,-0.828728
540,-2.720000,-126.095225,-1.076109
541,-2.718000,-160.880114,-1.372967
542,-2.716000,-169.576337,-1.447181
543,-2.714000,-152.183892,-1.298752
544,-2.712000,-105.804039,-0.902942
545,-2.710000,-82.614113,-0.705037
546,-2.708000,-82.614113,-0.705037
547,-2.706000,-100.006558,-0.853466
548,-2.704000,-155.082633,-1.323490
549,-2.702000,-172.475078,-1.471919
550,-2.700000,-160.880114,-1.372967
551,-2.698000,-120.297743,-1.026633
552,-2.696000,-79.715372,-0.680299
553,-2.694000,-68.120409,-0.581346
554,-2.692000,-76.816631,-0.655561
555,-2.690000,-120.297743,-1.026633
556,-2.688000,-155.082633,-1.323490
557,-2.686000,-166.677596,-1.422443
558,-2.684000,-140.588929,-1.199800
559,-2.682000,-97.107817,-0.828728
560,-2.680000,-71.019150,-0.606084
